Region,Date Initial Stringency,Date Final Stringency,Change in Stringency,Change in Net Effects
NLD,NLD,2021-01-23 00:00:00,2021-02-08 00:00:00,-3.7099999999999937,82794
NLD,NLD,2021-02-08 00:00:00,2021-03-03 00:00:00,-3.700000000000003,85458
NLD,NLD,2021-03-03 00:00:00,2021-04-26 00:00:00,-3.700000000000003,121996
DNK,DNK,2020-01-22 00:00:00,2020-02-27 00:00:00,11.11,0
DNK,DNK,2020-02-27 00:00:00,2020-03-03 00:00:00,9.260000000000002,1229
DNK,DNK,2020-03-03 00:00:00,2020-03-06 00:00:00,5.559999999999999,1708
DNK,DNK,2020-03-06 00:00:00,2020-03-10 00:00:00,5.550000000000001,2172
DNK,DNK,2020-03-10 00:00:00,2020-03-11 00:00:00,6.48,2789
DNK,DNK,2020-03-11 00:00:00,2020-03-13 00:00:00,25.0,1980
DNK,DNK,2020-03-13 00:00:00,2020-03-14 00:00:00,2.779999999999994,1995
DNK,DNK,2020-03-14 00:00:00,2020-03-18 00:00:00,6.480000000000004,2215
DNK,DNK,2020-03-18 00:00:00,2020-04-15 00:00:00,-3.700000000000003,2933
DNK,DNK,2020-04-15 00:00:00,2020-05-22 00:00:00,-5.559999999999995,-1307
DNK,DNK,2020-05-22 00:00:00,2020-05-25 00:00:00,-2.770000000000003,-327
DNK,DNK,2020-05-25 00:00:00,2020-06-08 00:00:00,-2.780000000000001,-262
DNK,DNK,2020-06-08 00:00:00,2020-08-01 00:00:00,-3.7099999999999937,-19
DNK,DNK,2020-08-01 00:00:00,2020-08-03 00:00:00,-2.770000000000003,1138
DNK,DNK,2020-08-03 00:00:00,2020-09-09 00:00:00,-3.240000000000002,819
DNK,DNK,2020-09-09 00:00:00,2020-09-19 00:00:00,3.240000000000002,4682
DNK,DNK,2020-09-19 00:00:00,2020-10-10 00:00:00,-9.259999999999998,1006
DNK,DNK,2020-10-10 00:00:00,2020-10-21 00:00:00,-4.630000000000003,5784
DNK,DNK,2020-10-21 00:00:00,2020-10-26 00:00:00,2.770000000000003,7949
DNK,DNK,2020-10-26 00:00:00,2020-11-09 00:00:00,14.82,5507
DNK,DNK,2020-11-09 00:00:00,2020-11-16 00:00:00,-4.630000000000003,2397
DNK,DNK,2020-11-16 00:00:00,2020-11-19 00:00:00,-6.479999999999997,6267
DNK,DNK,2020-11-19 00:00:00,2020-11-23 00:00:00,1.8499999999999943,10324
DNK,DNK,2020-11-23 00:00:00,2020-12-09 00:00:00,6.480000000000004,17090
DNK,DNK,2020-12-09 00:00:00,2021-01-04 00:00:00,15.740000000000002,15692
DNK,DNK,2021-01-04 00:00:00,2021-01-09 00:00:00,2.780000000000001,-16991
DNK,DNK,2021-01-09 00:00:00,2021-02-08 00:00:00,-3.700000000000003,-17306
DNK,DNK,2021-02-08 00:00:00,2021-02-20 00:00:00,-3.710000000000001,472
DNK,DNK,2021-02-20 00:00:00,2021-03-29 00:00:00,1.8500000000000014,2787
DNK,DNK,2021-03-29 00:00:00,2021-04-21 00:00:00,-8.330000000000005,170
DNK,DNK,2021-04-21 00:00:00,2021-05-06 00:00:00,-2.779999999999994,2372
CAN,CAN,2020-01-22 00:00:00,2020-03-11 00:00:00,11.110000000000001,6
CAN,CAN,2020-03-11 00:00:00,2020-03-12 00:00:00,8.329999999999998,8310
CAN,CAN,2020-03-12 00:00:00,2020-03-14 00:00:00,1.8500000000000014,9663
CAN,CAN,2020-03-14 00:00:00,2020-03-16 00:00:00,19.450000000000003,10570
CAN,CAN,2020-03-16 00:00:00,2020-03-18 00:00:00,17.589999999999996,13417
CAN,CAN,2020-03-18 00:00:00,2020-03-20 00:00:00,10.189999999999998,14976
CAN,CAN,2020-03-20 00:00:00,2020-03-23 00:00:00,1.3900000000000006,16122
CAN,CAN,2020-03-23 00:00:00,2020-04-01 00:00:00,1.8500000000000085,17040
CAN,CAN,2020-04-01 00:00:00,2020-04-04 00:00:00,-1.8500000000000085,21477
CAN,CAN,2020-04-04 00:00:00,2020-05-11 00:00:00,-1.8599999999999994,22814
CAN,CAN,2020-05-11 00:00:00,2020-06-22 00:00:00,-1.8499999999999943,6936
CAN,CAN,2020-06-22 00:00:00,2020-07-09 00:00:00,-1.8500000000000085,-845
CAN,CAN,2020-07-09 00:00:00,2020-08-25 00:00:00,-2.780000000000001,-21074
CAN,CAN,2020-08-25 00:00:00,2020-08-28 00:00:00,2.780000000000001,3127
CAN,CAN,2020-08-28 00:00:00,2020-09-08 00:00:00,-3.6999999999999957,4184
CAN,CAN,2020-09-08 00:00:00,2020-11-06 00:00:00,3.6999999999999957,7043
CAN,CAN,2020-11-06 00:00:00,2020-11-18 00:00:00,3.700000000000003,28391
CAN,CAN,2020-11-18 00:00:00,2021-01-06 00:00:00,2.780000000000001,24162
CAN,CAN,2021-01-06 00:00:00,2021-01-09 00:00:00,1.8499999999999943,-15846
CAN,CAN,2021-01-09 00:00:00,2021-03-13 00:00:00,-3.6999999999999886,-22278
CAN,CAN,2021-03-13 00:00:00,2021-04-01 00:00:00,3.6999999999999886,23269
USA,USA,2020-01-22 00:00:00,2020-02-02 00:00:00,5.56,9
USA,USA,2020-02-02 00:00:00,2020-03-01 00:00:00,2.7700000000000005,3
USA,USA,2020-03-01 00:00:00,2020-03-02 00:00:00,2.7799999999999994,35290
USA,USA,2020-03-02 00:00:00,2020-03-05 00:00:00,9.260000000000002,46692
USA,USA,2020-03-05 00:00:00,2020-03-11 00:00:00,1.3900000000000006,87606
USA,USA,2020-03-11 00:00:00,2020-03-12 00:00:00,8.329999999999998,221566
USA,USA,2020-03-12 00:00:00,2020-03-14 00:00:00,5.559999999999999,254338
USA,USA,2020-03-14 00:00:00,2020-03-15 00:00:00,5.550000000000004,314959
USA,USA,2020-03-15 00:00:00,2020-03-16 00:00:00,11.11,343409
USA,USA,2020-03-16 00:00:00,2020-03-17 00:00:00,2.780000000000001,372951
USA,USA,2020-03-17 00:00:00,2020-03-19 00:00:00,12.039999999999992,402243
USA,USA,2020-03-19 00:00:00,2020-03-21 00:00:00,5.560000000000002,462931
USA,USA,2020-03-21 00:00:00,2020-06-15 00:00:00,-3.7099999999999937,512392
